Representation_Space,Dimensionality,Algorithm,K,Silhouette_Score,Davies_Bouldin_Index,Calinski_Harabasz_Index,Adjusted_Rand_Index,Normalized_Mutual_Info,Cluster_Purity
Original_24D,24,K-Means,2,0.2942007907292157,1.2591155949276929,4.906980554461399,-0.10290237467018469,0.2154763167858413,0.5833333333333334
Original_24D,24,K-Means,3,0.20421915165739293,1.370423744228009,4.035870197903524,0.17582417582417584,0.46058678080598203,0.75
Original_24D,24,Ward_Hierarchical,2,0.20586083003720257,1.4810747987197428,4.14930480347101,0.4732394366197183,0.5492777164157401,0.75
Original_24D,24,Ward_Hierarchical,3,0.20421915165739293,1.370423744228009,4.035870197903524,0.17582417582417584,0.46058678080598203,0.75
Autoencoder_2D_Latent,2,K-Means,2,0.2830224931240082,1.123046985744649,6.425427895744808,0.4732394366197183,0.5492777164157401,0.75
Autoencoder_2D_Latent,2,K-Means,3,0.4185088574886322,0.6683856175824053,10.485747653284362,-0.03024390243902439,0.3440991893257428,0.6666666666666666
Autoencoder_2D_Latent,2,Ward_Hierarchical,2,0.4166945219039917,0.6180534442746048,5.6310702320519805,-0.13411567476948869,0.1440538136016899,0.5833333333333334
Autoencoder_2D_Latent,2,Ward_Hierarchical,3,0.4571947753429413,0.578283335235574,10.36606127534713,-0.14647887323943662,0.26067641390254015,0.5833333333333334
PCA_2D,2,K-Means,2,0.5388240000056842,0.7808322617013509,13.349623172880033,-0.10290237467018469,0.2154763167858413,0.5833333333333334
PCA_2D,2,K-Means,3,0.5068580675850426,0.6496450909758713,16.69155355243345,0.17582417582417584,0.46058678080598203,0.75
PCA_2D,2,Ward_Hierarchical,2,0.4005278062046193,0.8510150314089002,9.68996501180085,0.4732394366197183,0.5492777164157401,0.75
PCA_2D,2,Ward_Hierarchical,3,0.5068580675850426,0.6496450909758713,16.691553552433447,0.17582417582417584,0.46058678080598203,0.75
