Epoch,Reconstruction_Loss_MSE
1,1.0725806951522827
2,1.0306673049926758
3,1.007465124130249
4,0.9951798915863037
5,0.9859237670898438
6,0.9742454886436462
7,0.9577431082725525
8,0.9361832737922668
9,0.9103932976722717
10,0.8813464641571045
11,0.849506139755249
12,0.8150466084480286
13,0.7787532806396484
14,0.7421123385429382
15,0.7032926082611084
16,0.6615174412727356
17,0.6220610737800598
18,0.5913231372833252
19,0.5685702562332153
20,0.5472937822341919
21,0.5301125049591064
22,0.5196161866188049
23,0.5134391188621521
24,0.5080378651618958
25,0.5028752088546753
26,0.49735185503959656
27,0.49137061834335327
28,0.4853614568710327
29,0.48059287667274475
30,0.4769919216632843
31,0.4739508032798767
32,0.4710814654827118
33,0.4677260220050812
34,0.464189738035202
35,0.46081358194351196
36,0.4581071138381958
37,0.45581376552581787
38,0.4536350667476654
39,0.4513290226459503
40,0.4488772749900818
41,0.4462926685810089
42,0.4436511993408203
43,0.4409904479980469
44,0.4381169080734253
45,0.43506890535354614
46,0.4319409728050232
47,0.42888134717941284
48,0.4259148836135864
49,0.4230254888534546
50,0.4201868176460266
51,0.4172557294368744
52,0.4141767919063568
53,0.41094323992729187
54,0.40753811597824097
55,0.40402692556381226
56,0.40042176842689514
57,0.3966961205005646
58,0.39284154772758484
59,0.38882315158843994
60,0.3846762180328369
61,0.3805004954338074
62,0.3763442635536194
63,0.37220004200935364
64,0.36799347400665283
65,0.363669216632843
66,0.3592795133590698
67,0.35487043857574463
68,0.35041263699531555
69,0.345894455909729
70,0.3413611650466919
71,0.33685430884361267
72,0.3323862850666046
73,0.3279440999031067
74,0.3235073685646057
75,0.31910020112991333
76,0.31479424238204956
77,0.31062832474708557
78,0.3065759837627411
79,0.3026205897331238
80,0.29878148436546326
81,0.29504552483558655
82,0.2913685142993927
83,0.2877119183540344
84,0.28402531147003174
85,0.28028690814971924
86,0.27651000022888184
87,0.2727188766002655
88,0.2689440846443176
89,0.2651907801628113
90,0.2614938020706177
91,0.2581515908241272
92,0.25539734959602356
93,0.25323760509490967
94,0.2467532455921173
95,0.24715235829353333
96,0.24051934480667114
97,0.23646460473537445
98,0.23153570294380188
99,0.2273055464029312
100,0.223858043551445
101,0.21853037178516388
102,0.21582511067390442
103,0.2106718271970749
104,0.20791657269001007
105,0.20361799001693726
106,0.20042556524276733
107,0.1966313123703003
108,0.1937699019908905
109,0.18997693061828613
110,0.1875196099281311
111,0.18387000262737274
112,0.18142454326152802
113,0.1784568428993225
114,0.1758093237876892
115,0.17316383123397827
116,0.1707751601934433
117,0.16804905235767365
118,0.16591565310955048
119,0.1633061021566391
120,0.16123542189598083
121,0.15889422595500946
122,0.15687529742717743
123,0.1545998454093933
124,0.15261828899383545
125,0.15030184388160706
126,0.14828291535377502
127,0.1459537148475647
128,0.14387565851211548
129,0.14159904420375824
130,0.13943713903427124
131,0.1371990293264389
132,0.1349584460258484
133,0.13271133601665497
134,0.13042116165161133
135,0.12815196812152863
136,0.12584653496742249
137,0.12361492216587067
138,0.12133929133415222
139,0.11918066442012787
140,0.11698123812675476
141,0.11489316821098328
142,0.1128084808588028
143,0.11078634113073349
144,0.10881448537111282
145,0.10686647891998291
146,0.1049821600317955
147,0.10311076790094376
148,0.10130598396062851
149,0.09950792789459229
150,0.09777528047561646
151,0.09605386853218079
152,0.09438761323690414
153,0.09274590015411377
154,0.09114149212837219
155,0.0895785242319107
156,0.08804649859666824
157,0.08656378090381622
158,0.08511396497488022
159,0.08371461927890778
160,0.08235270529985428
161,0.08104263246059418
162,0.07977692782878876
163,0.07856480777263641
164,0.07740139961242676
165,0.07629597187042236
166,0.07523611932992935
167,0.07423283159732819
168,0.07327264547348022
169,0.07236361503601074
170,0.07149656116962433
171,0.07067447155714035
172,0.06988644599914551
173,0.06913682818412781
174,0.06841686367988586
175,0.06772676110267639
176,0.06705981492996216
177,0.06641748547554016
178,0.06579270958900452
179,0.06518509984016418
180,0.06459009647369385
181,0.06400784105062485
182,0.0634332001209259
183,0.06286555528640747
184,0.062301795929670334
185,0.06174054369330406
186,0.06117940694093704
187,0.06061655282974243
188,0.06005068123340607
189,0.05948011577129364
190,0.058904018253088
191,0.0583203099668026
192,0.057728901505470276
193,0.05712826922535896
194,0.05651814490556717
195,0.055897098034620285
196,0.05526471138000488
197,0.054620321840047836
198,0.05396295711398125
199,0.0532926470041275
200,0.05260858312249184
201,0.05191034823656082
202,0.05119778960943222
203,0.05047062411904335
204,0.04972903057932854
205,0.0489729680120945
206,0.048202864825725555
207,0.047419123351573944
208,0.04662229120731354
209,0.045813195407390594
210,0.04499274119734764
211,0.04416222125291824
212,0.04332306981086731
213,0.04247687757015228
214,0.0416254848241806
215,0.040771037340164185
216,0.039915814995765686
217,0.0390627384185791
218,0.03821595758199692
219,0.037387117743492126
220,0.03662247955799103
221,0.03615740314126015
222,0.03687465190887451
223,0.03889667987823486
224,0.039382897317409515
225,0.03672046959400177
226,0.036577895283699036
227,0.03761999309062958
228,0.034082941710948944
229,0.03595082834362984
230,0.03132009506225586
231,0.033377934247255325
232,0.03120391257107258
233,0.032095808535814285
234,0.029270406812429428
235,0.029645897448062897
236,0.027564754709601402
237,0.027763618156313896
238,0.02711116150021553
239,0.02667655237019062
240,0.025839801877737045
241,0.025354165583848953
242,0.02469775266945362
243,0.024516692385077477
244,0.023972541093826294
245,0.023391855880618095
246,0.023093566298484802
247,0.02258651703596115
248,0.022115768864750862
249,0.021940795704722404
250,0.021433025598526
