PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,Expert,FBG,Material,Impact_Status
-2.6665230429074436,0.8489095665078868,0.8220046209040819,-0.8239387593308549,0.006212397267817069,-1.1131966176454549,-0.29064096869037775,0.024279919066323777,-1.3790032696480374,0.2255016594746575,-0.38465875978471137,-1.6719070913367225e-16,Expert 7,FBG2,Bare,IMPACT
-3.43169832251377,1.4548599229197439,0.4033860515139746,0.6837474918325381,-1.1454916899588388,-1.3709340250797823,-1.3578218626481648,-0.9907900544444125,0.41806358885627354,0.31892248437177245,0.29593567358994327,-1.671907091336721e-16,Expert 8,FBG1,Copper,IMPACT
4.125276837178597,2.1748148279934973,-2.1069365933595052,-0.9457997394954287,2.040383071077536,-0.7469374768480901,1.064048072793975,-1.036016060844242,0.21032491021991467,0.17035359819244886,-0.003858308477510547,-1.6719070913367222e-16,Expert 8,FBG2,Bare,IMPACT
-1.6879638728528226,-1.239628793645826,0.13054995722068408,1.3067525960714093,0.247097016137907,0.6562071659003877,-0.5254573838651496,-0.8505826175608343,1.089017749778023,-0.475815548248338,-0.3842965229539997,-1.671907091336722e-16,Expert 9,FBG1,Copper,IMPACT
5.394857582402753,3.6094506639217485,2.4361543573655684,1.158729449530921,-0.5819200945327218,1.0324961309874914,-0.8645067274000326,0.5101149783948865,-0.043475751009326824,-0.012040942493720765,-0.023667188030168325,-1.6719070913367215e-16,Expert 9,FBG2,Bare,IMPACT
-2.1281677020567162,0.6562464027424383,0.6706052893945119,-0.472135711605663,0.36128600904818514,0.2787367962354568,0.7314279699031522,-0.1864967225769951,-0.6816045375854085,-1.110909487429511,0.243689961064474,-1.6719070913367234e-16,Expert 9,FBG3,Steel,IMPACT
-2.3607490203857755,-0.5074966969235034,-1.775065024232646,3.088883040020899,1.9962215048400147,0.4722073296915928,-0.3174547535070267,1.0015861540257216,-0.29832765800175864,0.2639947639505939,0.1039621979917907,-1.6719070913367234e-16,Expert 10,FBG1,Copper,IMPACT
0.8462075237673718,0.2133257860315268,-3.841649526950479,-1.8879718064032114,-1.5210590879103199,-0.010089243783550177,-1.070967171511884,0.9937878367482634,0.23392446805305556,-0.25089202612787387,-0.03272672126776762,-1.671907091336722e-16,Expert 10,FBG2,Bare,IMPACT
0.08782375693043692,-2.531723521796695,2.4146629884904516,-2.839846462945584,1.7853594618806485,0.1793922681384424,-0.9691214937380465,0.4995845008360861,0.4513350380908083,0.20230561098601788,0.10304536482955085,-1.6719070913367222e-16,Expert 11,FBG2,Bare,IMPACT
-0.0025676430058719757,-1.8200533241702583,-0.6584341495274011,-0.48560125747246163,-1.1813849446434246,2.364916478858429,0.5323771287790922,-0.9716874097447528,-0.617935323557593,0.4901187947244224,0.07348824504679394,-1.671907091336722e-16,Expert 12,FBG2,Bare,IMPACT
4.758402453500982,-4.085980921398901,0.5245484824519607,1.5222323867519654,-1.0471200462824037,-1.6198910246927314,0.6183732148654865,0.10193040660633113,-0.21038362132396277,-0.09964748416133067,0.03825671688511238,-1.671907091336723e-16,Expert 13,FBG2,Bare,IMPACT
-2.934898550057738,1.2272760878183406,0.9801735467288014,-0.30505122695452946,-0.9595835969244005,-0.12290778176219203,2.4497439750189733,0.9042890694936246,0.8280644061280136,0.2781085767608616,-0.029170658893507936,-1.671907091336722e-16,Expert 13,FBG3,Steel,IMPACT
