time,wavelength_shift
0.02,-1.3125174792272879e-05
0.039999,0.0008013503496716736
0.06,0.0012553130536282818
0.079999,0.0014078888112025495
0.099999,0.0013182034965194757
0.119999,0.0010453829837040525
0.139999,0.0008465251748490431
0.159998,-0.00021419743585720684
0.179998,-0.00043785710950870353
0.199998,-0.0003625657342139675
0.219998,-3.2169463823463046e-05
0.239998,0.0003349400932740275
0.259997,0.0009654062937363612
0.279997,0.00039619883454081813
0.299997,-1.974522139613818e-05
0.319997,-7.16100232624962e-05
0.339997,-0.0002027289043815898
0.359997,-0.0006717965034452373
0.379996,-0.00046422074587255913
0.399996,-0.0005420529137022028
0.419996,-0.0005252930069496304
0.439996,-0.0002474142190770469
0.459996,-0.00021454708620703407
0.479995,-0.0002591158507735153
0.499995,-3.661305323149404e-06
0.519995,-0.0002533116549712534
0.539995,-2.6621678285973992e-05
0.559994,-0.0001097219113857528
0.579994,-0.0006238710955274074
0.599994,-0.0009848268064759887
0.619994,-0.0011814701631173668
0.639994,-0.0006189993006504224
0.659993,-0.0004529153845676508
0.679993,0.000153844522184111
0.699993,0.0003708608391978938
0.719993,0.00047272564106256627
0.739993,0.0004997419580758647
0.759992,0.00012549953383754557
0.779992,-0.0006340575757104297
0.799992,-0.0004546869463410997
0.819992,-0.0007757825174315964
0.839992,-0.001034873426517625
0.859992,-0.0010557358973814841
0.879991,-0.0009677638694073703
0.899991,-0.0007360622377045387
0.919991,-0.00038454708619070236
0.939991,-0.0011090226106560933
0.959991,-0.0014860389276655423
0.97999,-0.0016675074591348976
0.99999,-0.0013509340325667883
1.01999,-0.0008875307691754357
1.03999,-0.0005611904428454754
1.059989,-0.00012832330999000828
1.079989,-3.438391604822439e-05
1.099989,-4.147016313195074e-05
1.119989,0.000199905128239727
1.139989,0.00023312191145691735
1.159988,0.000273424941759954
1.179988,0.0005528888112220972
1.199988,0.0007012571095926383
1.219988,0.0008190659673998023
1.239988,0.000176874825217749
1.259988,-1.3568065221327514e-05
1.279987,-0.00015529300694302434
1.299987,-0.0007664818181231086
1.319987,-0.0004382999999483557
1.339987,-0.00037408088573184615
1.359986,-0.0009166216782686889
1.379986,-0.0006668314684794876
1.399986,-0.000538393240042759
1.419986,-0.00027265897431159625
1.439986,-0.00044804358969225566
1.459985,-2.3311654965757486e-05
1.479985,0.0006100216783559403
1.499985,0.0009244738928013029
1.519985,0.0007446603729896706
1.539985,0.0003217000000307915
1.559984,0.0002486230769528668
1.579984,0.00019060442893653915
1.599984,0.0004430519813800837
1.619984,0.000706128904456903
1.639984,0.0009642874126091748
1.659983,0.000644800233129369
1.679983,0.0009876673659942306
1.699983,0.0006770613053959115
1.719983,4.780722615376875e-05
1.739983,-0.0006162020978475616
1.759983,-0.0007201648018069595
1.779982,-0.0010250132866500491
1.799982,-0.0010542673659044701
1.819982,-0.00044307855472650596
1.839982,4.6781585121177135e-05
1.859981,-0.00020552610718127046
1.879981,0.00027710792544211917
1.899981,0.0006713969697230864
1.919981,0.0013519797202957502
1.939981,0.0017381102564176072
1.95998,0.001303028671347449
1.97998,0.001413401631725829
1.99998,0.0007831685315076673
2.01998,0.0008872244755653699
2.039979,9.002167837665164e-05
2.059979,-0.0004715400931787271
2.079979,-0.0005653862470275063
2.099979,-0.000358486480131232
2.119979,0.0002452664336099982
2.139979,0.0005178538461870755
2.159978,9.139696973363044e-05
2.179978,0.0007933783217028104
2.199978,0.0011233317016499525
2.219978,0.0012247536130717926
2.239978,0.000974077622399047
2.259977,0.0010604412587598199
2.279977,0.0007659191142419094
2.299977,0.0004935414918709126
2.319977,0.0002836114219445662
2.339977,-3.482680648946686e-05
2.359977,0.00037971864805029905
2.379976,0.0004390659674009535
2.399976,0.00033941561775256246
2.419976,0.00047449720283495515
2.439976,0.0004815834499202716
2.459975,0.0005927489510817715
2.479975,0.0003690892774244446
2.499975,0.000663611421943415
2.519975,0.0002805111888484504
2.539975,-0.00013359137524795311
2.559974,0.000167131235474909
2.579974,0.00018484685319031978
2.599974,0.00035358811192584517
2.619974,0.0005745904429261785
2.639974,0.0008925391608639869
2.659973,0.0003356627039969339
2.679973,0.0004751965035298405
2.699973,-0.0004055727272236799
2.719973,-0.0012238710955077088
2.739973,-0.0015288827505156768
2.759973,-0.0019243372959570825
2.779972,-0.0014771578087808754
2.799972,-0.0013596752912981675
2.819972,-0.0010776240092509042
2.839972,-0.0007058524474915195
2.859971,-0.0014192557108850439
2.879971,-0.0013492090908435515
2.899971,-0.001699791841420981
2.919971,-0.0008619130535582676
2.939971,-0.00011680815846894921
2.95997,-0.0003289060605597747
2.97997,0.0005657326340652932
2.99997,0.0008668981352251575
3.01997,0.0010927722610955858
3.03997,0.0009554762238011517
3.059969,0.0005701615384920259
3.079969,-0.00013846317012228824
3.099969,-0.00016503659669222452
3.119969,0.00012771398605435682
3.139969,0.00042843659677721903
3.159968,0.0004018631702041028
3.179968,0.0009692058275363722
3.199968,0.0011423293706563677
3.219968,0.0011457093240357379
3.239968,0.0013441941725181989
3.259967,0.0009760123543410845
3.279967,-0.00013422074587626488
3.299967,-9.2262703919745e-05
3.319967,-0.00015016480181928653
3.339967,-0.00022776386941694877
3.359967,0.00022186317019374117
3.379966,0.00017512657345907114
3.399966,0.00029715454548741744
3.419966,-0.0002507941724521767
3.439965,-0.0005523093239608087
3.459965,-0.001269908391548024
3.479965,-0.0019013536129800167
3.499965,-0.0014333116549463108
3.519965,-0.0017161787878105452
3.539965,-0.0012543139859558898
3.559964,5.591911425418654e-05
3.579964,0.0005683899767228169
3.599964,0.0010312104895381902
3.619964,0.0007056860140183109
3.639964,0.0003092990676373181
3.659963,0.0004753829837211498
3.679963,0.00012328508162974436
3.699963,9.936899771203156e-05
3.719963,-0.0005693955710447281
3.739963,-0.0005428221444716116
3.759962,6.393776228120975e-05
3.779962,0.00028981188815269837
3.799962,-0.00022394102559421643
3.819962,-0.0007314934731388292
3.839962,-0.0008222860139326949
3.859962,-0.0002930319346866507
3.879961,-0.0004679736596276581
3.899961,-0.0003107475524041817
3.919961,-0.0001845237761821445
3.939961,0.00038459044292569404
3.95996,0.0015117466200695044
3.97996,0.0018567582750803639
3.99996,0.001746035664358516
4.01996,0.001498017016343294
