File,Sensor,Dominant_Frequency,Spectral_Energy,Spectral_Entropy,Spectral_Centroid,Bandwidth,Approximation_Energy,Detail_Energy,Wavelet_Energy,Wavelet_Entropy,Detail_Approx_Ratio
RVCE mechanical strain expert10.20260327121942_FINAL_FILTERED.csv,FBG1_processed,3.4467257388538024,2.614928965231645,8.172935675343584,6.306819820744421,6.095517313362817,0.0013997793847317806,0.0037361679696615046,0.005135947354393286,1.9752211787075085,2.669112009895974
RVCE mechanical strain expert10.20260327121942_FINAL_FILTERED.csv,FBG2_processed,0.04595634318471736,15.89682868927865,7.831041494045005,5.337653850483112,6.188544784330077,0.1556294897636193,0.004881570699985083,0.16051106046360436,0.24339440313098332,0.031366617646618127
RVCE mechanical strain expert10.20260327121942_FINAL_FILTERED.csv,FBG3_processed,0.5974324614013258,0.35584955395028645,8.210166914141528,6.427712190448617,6.4266571842817735,0.0003414890304520167,0.0004073522689985831,0.0007488412994505998,1.9353824516929774,1.1928707263788676
RVCE mechanical strain expert11.20260327122058_FINAL_FILTERED.csv,FBG1_processed,2.1551940588306273,0.49096538106313903,7.0652481310587625,6.61543347864227,6.382878629486355,0.0013677734850189977,0.0015525170010179824,0.00292029048603698,1.8624187151190568,1.1350687938371242
RVCE mechanical strain expert11.20260327122058_FINAL_FILTERED.csv,FBG2_processed,0.10775970294153137,1.2827842445354707,6.0223020220505985,4.442429672310555,6.232540985401325,0.018551028309792945,0.00013565281052839505,0.01868668112032134,0.07345459284404353,0.007312414614206187
RVCE mechanical strain expert11.20260327122058_FINAL_FILTERED.csv,FBG3_processed,2.5862328705967528,0.06926941630675283,6.925877211767654,6.347418058932087,6.379846523568913,0.0001421733633979395,0.0001948283960883351,0.0003370017594862746,1.9169465573899214,1.3703579212138186
RVCE mechanical strain expert12.20260327122213_FINAL_FILTERED.csv,FBG1_processed,2.483999278710301,0.7290299727331272,7.566347689503464,7.082208747547888,6.585249079928432,0.001058998027492234,0.0017049305925655016,0.0027639286200577358,2.0104884255661477,1.6099468995168242
RVCE mechanical strain expert12.20260327122213_FINAL_FILTERED.csv,FBG2_processed,0.08012900899065487,1.2093934217883013,7.14282939125427,5.4431075022199975,6.232338938841405,0.012090084496719005,0.0009614122723681291,0.013051496769087135,0.4975084101472047,0.07952072399076411
RVCE mechanical strain expert12.20260327122213_FINAL_FILTERED.csv,FBG3_processed,2.243612251738336,0.12525806553887803,7.479704210039845,6.631251703419801,6.4423546987135,0.00020756682408233483,0.0002804486817099193,0.0004880155057922541,1.9274667066812086,1.3511247840240108
RVCE mechanical strain expert13.20260327122313_FINAL_FILTERED.csv,FBG1_processed,3.710974682297648,2.3509649300538724,8.115217027070152,6.438916586528574,6.324298686614203,0.0015373098034836903,0.003577707293603746,0.0051150170970874365,2.010462380605453,2.3272519847132105
RVCE mechanical strain expert13.20260327122313_FINAL_FILTERED.csv,FBG2_processed,0.048828614240758524,51.082303013757716,6.75013868072267,3.8227180789627044,6.026979181028449,0.12304960592550221,0.0006168759936821002,0.1236664819191843,0.05248723056307532,0.00501323014435789
RVCE mechanical strain expert13.20260327122313_FINAL_FILTERED.csv,FBG3_processed,0.29297168544455116,0.33999885490281817,8.184717863598445,6.6199739063319,6.508948233285892,0.0004291859273439924,0.0004781426360803002,0.0009073285634242927,1.8469929153243894,1.114068762517929
RVCE mechanical strain expert7.20260327121446_FINAL_FILTERED.csv,FBG1_processed,2.2321652187264442,0.6180843150055063,7.402534745254246,7.00157869169953,6.580616688354639,0.001147580751931962,0.0017473117154719186,0.002894892467403881,1.9370166518358438,1.522604584477127
RVCE mechanical strain expert7.20260327121446_FINAL_FILTERED.csv,FBG2_processed,0.08928660874905776,0.06805333982725534,7.203368863745907,6.343522869209939,6.331927865808071,0.0002867862676039356,0.00014388371016483032,0.00043066997776876597,1.4752851910041722,0.5017105974607872
RVCE mechanical strain expert7.20260327121446_FINAL_FILTERED.csv,FBG3_processed,1.7857321749811552,0.09116720909168821,7.325855127017108,6.651176910307576,6.194113291587505,0.0001011021453262191,0.00027989949118726654,0.00038100163651348564,2.050761923439403,2.7684821871549077
RVCE mechanical strain expert8.20260327121511_FINAL_FILTERED.csv,FBG1_processed,0.024801835319940495,8.245653863645058,9.058522299742963,6.343455930206963,6.285891840648934,0.005571532128585465,0.005621277585081716,0.01119280971366718,1.8032760720699836,1.008928505541967
RVCE mechanical strain expert8.20260327121511_FINAL_FILTERED.csv,FBG2_processed,0.024801835319940495,124.61111246151246,8.12539432146021,4.450719415496099,5.8196417636612585,0.6349610560161132,0.005999059193871669,0.6409601152099849,0.0906154923244505,0.009447916745479876
RVCE mechanical strain expert8.20260327121511_FINAL_FILTERED.csv,FBG3_processed,2.4801835319940495,1.2026676107257128,9.068566599551282,6.309612756649916,6.235709637156498,0.000368526408353888,0.0008543719501361782,0.0012228983584900662,2.0085359337616584,2.3183466054280606
RVCE mechanical strain expert9.20260327121636_FINAL_FILTERED.csv,FBG1_processed,0.009005853893314306,69.78965103264724,10.507184453463719,6.210078497924098,6.194813506705238,0.023278655337214085,0.01654199712241938,0.03982065245963347,1.6490349811899128,0.7106079316902875
RVCE mechanical strain expert9.20260327121636_FINAL_FILTERED.csv,FBG2_processed,0.009005853893314306,785.6072811584918,9.432533731453839,4.095294472598587,5.896810354186196,7.395448165218317,0.008254670144652691,7.40370283536297,0.014351495645570863,0.0011161825436725096
RVCE mechanical strain expert9.20260327121636_FINAL_FILTERED.csv,FBG3_processed,0.009005853893314306,9.6701789728112,10.545737720229894,6.403255067961636,6.31995687523572,0.0015656416753879127,0.002213590904930227,0.00377923258031814,1.9516031893858494,1.4138553784779135
