Time,FBG1_processed,FBG2_processed,FBG3_processed
0.02,-0.0008547489509481733,0.0006368594403271311,-9.86545454481044e-05
0.039999,-0.0014864272725978397,-0.00018321048970437368,0.00028400279720667795
0.059999,-0.0014134668996234536,-0.0005978258742979914,0.0006028839160846027
0.079999,-0.000867720978873943,-0.0006913573428209546,0.000834737062934591
0.099999,-8.104265719823846e-05,-0.0005481755246404952,0.0009563104895055635
0.119999,0.0007147149185547486,-0.0002526510491238417,0.000944352447546444
0.139998,0.0010185377623996973,7.452843804210078e-05,0.0005568233100231566
0.159998,0.0010350412588991573,0.00030669627020412553,0.0003911822843832172
0.179998,-0.0005517885779417891,0.0003641321676333436,-8.226759906278098e-05
0.199998,-0.0012592944054230866,0.0003933862469015449,-0.0010747850815649108
0.219998,-0.0011866603727917042,0.0007544585079817521,-0.0010792139859927036
0.239997,0.00046851445237484847,0.000542337295855485,-0.0008294237762003223
0.259997,0.0002207755246640812,0.00041858438210708203,-0.00018900419579012808
0.279997,0.0005926170164926895,0.0006762766898033405,0.0004155412587474722
0.299997,0.0009550412589108645,0.0009145051280345202,0.0003375925407999823
0.319997,-0.0008578958040372617,0.0010543885779278547,0.0008407160839109724
0.339997,-0.0006119284380649626,0.0014160668995876818,0.0005767533799506088
0.359996,-0.0019868701630216938,0.0013098664333967016,0.0005187347319316312
0.379996,-0.003916613752767644,0.0011042720277913626,0.00011570442890338427
0.399996,-0.0037465438226919616,0.0009370226105407324,-0.00017040279719806293
0.419996,-0.0033712058273799167,0.0011085377620373169,0.00015556456876199867
0.439996,-0.0022787815849550828,0.0006650179485099539,-5.082237761903962e-05
0.459995,-0.0026020449881840883,0.00012308321656492183,-0.00011902750582580942
0.479995,-0.001618012354154395,-0.0003253083918394263,-0.00015711608390938473
0.499995,-0.0009650286711657091,-0.0004940729605828326,0.00010241771562000628
0.519995,-0.0013829773891377763,-0.0006852151517194444,-6.986666666347735e-05
0.539994,0.0012605191143706057,-0.0002595041960089768,-3.222097901478421e-05
0.559994,0.000915763869613389,-0.00040906130555313727,-0.00046625361303917
0.579994,1.9027272869745373e-05,-0.00044682354332391635,-0.00021114871793916187
0.599994,-0.0003702501164180498,-1.8874825368616222e-05,0.0003690377622426635
0.619994,-0.001759410955583966,0.0002526403261351972,0.0010869631701591054
0.639993,-0.0032717885779629786,0.0002181414916413123,0.000794212587416764
0.659993,-0.0033963806525505436,-0.00036330372981833667,0.001197685780882543
0.679993,-0.0033255648017359325,-0.0005731172496215372,0.0009651682983685708
0.699993,-0.002739760605923014,-0.000567173193649558,0.0010741193473159092
0.719993,-0.0012518818180482945,-0.0005730240095009722,0.0004912755244813303
0.739993,0.0005595634034038068,-0.00030367669013937746,0.000707848951053341
0.759992,0.0025886543124847517,-0.00016265104911203566,-8.315337993943569e-05
0.779992,0.0031623139861557195,8.654312182708478e-06,0.0008495738927702678
0.799992,0.002851055244904247,0.00029720909073612884,0.0009780121212043464
0.819992,0.0027214048952579274,-8.595105095239336e-06,0.0017176391608222192
0.839992,0.0021060202798634823,-0.00035691678341306514,0.0016600634032487242
0.859991,0.0008957871796097535,-0.0009197139862346768,0.0014922079253940931
0.879991,0.0016798198136578502,-0.0008157512822636186,0.0009868699300662916
0.899991,0.0004847382285629639,-0.0007603899769016347,0.0008894340326331223
0.919991,-0.0003037466199276962,-0.0007536300701487249,0.0004819748251823827
0.939991,-0.0020481289043139256,-0.0002790146855025377,0.0005107627039728404
0.95999,-0.0007640962702763253,0.00025466829819249955,-0.00019564755242996217
0.97999,-0.0011546324008133244,0.0004305657340846847,0.00042484195804588977
0.99999,8.921375303431404e-05,0.0007171391606532753,-8.049603728721173e-05
1.01999,0.001107139160967672,0.0006235727270882803,0.00040225454545402396
1.039989,0.0007816846155207266,0.0003827801863137819,0.00021801212121406896
1.059989,-0.00023358344973708773,0.00035839790192998577,1.2068065270562779e-05
1.079989,0.0010592137530758125,9.382913735873155e-05,-0.00017173146852602977
1.099989,0.00011012284395633536,5.2920046440564205e-05,0.00010994685314762485
1.119989,0.0005749946388241723,-9.115920763109084e-05,4.351328671748427e-05
1.139988,-0.0007456580418289986,-0.0003684319349033838,4.7942191151106915e-05
1.159988,0.0003302393940651746,-0.00044092610739737947,-0.00023949370627936715
1.179988,0.00025147482529647375,-0.0002718351983194465,9.09025641137875e-05
1.199988,0.001424994638819896,-0.00017509860158805205,-9.333986012086755e-05
1.219988,0.0002446216784659295,-0.00018565804215210318,-6.533333317792285e-06
1.239987,-0.0017618818180061898,-0.00029519184167701106,9.976037297520283e-05
1.259987,-0.0032633503494580735,-0.0001830706295659231,0.00012234778555911854
1.279987,-0.001327919114017637,-0.00019484219135546536,0.00012456223777274989
1.299987,-0.0008584552445762099,-0.00012899137550872395,0.0006405296037338259
1.319987,0.0019262300700941817,-2.790909309937858e-06,0.0005895972028022846
1.339987,0.002327185781036114,-0.000528058974599112,0.00047400279721193184
1.359986,0.0025268361306890843,-0.0004704832170150166,0.0008637463869499108
1.379986,0.0024477685316212977,-0.000190180186696221,0.0009567533799558175
1.399986,0.003062313986154851,-0.00020985384636049013,0.0007973128205181801
1.419986,0.0009491205129552456,-1.4049650552443811e-05,0.0002946321678426021
1.439986,-0.0005082221443766985,7.954009305117271e-05,-0.00048392261070171844
1.459985,-0.0015832337994053465,0.0003787009322040163,-0.00031236083914856137
1.479985,-0.0017933270395087619,0.000564132167638791,5.121678325813563e-06
1.499985,-0.00167495874117272,0.0004099596734628082,-5.367832165833873e-06
1.519985,-0.000564585780793603,0.0004316379951314481,-0.0003154843822769384
1.539984,-0.0013633270395449896,-0.00015272097925526768,-0.0003109389277318297
1.559984,-0.0010799470861406091,9.657972005784893e-05,5.255757575801901e-05
1.579984,0.00037667296047001904,0.0005598431233399052,5.7044289070930405e-06
1.599984,0.0027110785548823974,0.0004625237760166312,-0.0007942955710797157
1.619984,0.0020718244756469523,0.0006072790207763504,-0.0014262303030010432
1.639983,0.002366975990812255,0.0007466496501586892,-0.001849796736559153
1.659983,0.0021033163171599867,0.0005872090907141614,-0.001558864335631463
1.679983,0.0005647848486390996,0.00032483146835395765,-0.0015765799533479338
1.699983,9.336293721701324e-05,-9.747622396236866e-05,-0.001652710489475472
1.719983,-0.0011462874123955935,-0.0006499237764037492,-0.0011511953379677528
1.739983,-0.0020884552445633617,-0.0009342128206979651,-0.0005963235431071906
1.759983,-0.0028024179485281646,-0.0009833969698803684,0.0001195272727335369
1.779982,-0.000507126573260573,-0.0007972664337544186,0.00025052960373372446
1.799982,0.0011835494174134448,-0.0009604132869033028,-0.00020331655010662777
1.819982,0.0017732463871294487,-0.0005967769232596365,-0.000480239627024853
1.839981,0.0025419643358252043,-0.00022020349668825024,-0.0007396801864596494
1.859981,0.0027703792542443204,-0.0002156580421569218,-0.0013846685314366134
1.879981,0.004208327972195249,0.0003300762235828212,-0.0014536895104566442
1.899981,0.00484746550132504,7.718578070227449e-05,-0.001357302564068187
1.919981,0.005347279021134363,-0.00020062307709313532,-0.0013236895104557268
1.939981,0.002052803496643786,-9.467902113830765e-05,-0.001418910955678445
1.95998,-0.0009529074590703299,-0.0003022314686946248,-0.0010048083915825715
1.97998,-0.0013646324007972341,-4.337365983898779e-05,-0.0012071627039337374
1.99998,-0.004977056643193289,-0.0001791545456210357,-0.0010471160838905094
2.01998,-0.005435821211949708,0.00015147482500887043,-0.0004041090908957249
2.039979,-0.006262278088410868,0.00023154475505843654,0.00010314032634662265
2.059979,-0.0057525344986695155,0.00016126503476800226,0.00035106573426724977
2.079979,-0.0023371965033454796,0.00026093869445183463,0.0010288046619942608
2.099979,-0.00023055314671602484,-0.00015822214470279333,0.0008551216783141168
2.119979,0.0007132230770364634,-0.0004133503498308229,0.0004501333333311814
2.139978,0.0004673722611676999,-0.00033432937080582904,0.0003777324009259505
2.159978,0.0014015447553460058,-0.00046451585100070576,0.0002109724941699549
2.179978,0.0026464165502251757,-0.00014740629389092946,-0.00014182470862216618
2.199978,0.003079749883579057,-0.0002590613055438842,0.0002023710955690724
2.219978,0.003727512121337221,0.00016609020961385528,0.000762953846145252
2.239977,0.003272640326484947,4.825804176912979e-05,0.000567732400930675
2.259977,0.003841707925561124,-0.0002280822845837166,0.0010281986013939703
2.279977,0.003342337296196752,-0.0005797139862116888,0.0013870097902007935
2.299977,0.0024450645689443017,-0.0007856580421742753,0.0005201100233188205
2.319977,0.0008563000001936486,-0.0008885717950873706,3.7755710975504754e-05
2.339977,0.0013828967367779292,-0.0006263340328438835,-0.00014604382282108763
2.359976,0.0010933862472749213,-0.00026388648038496706,-0.00015490163167985316
2.379976,0.001965530769438229,0.0002479783214976831,-0.0003156708624539376
2.399976,0.003128561072457283,0.00023037925390064813,-0.00028466853145196855
2.419976,0.002394854778730897,0.00016394568746255734,-0.0004795403263214879
2.439975,0.0031488407926969315,-0.00010992377641824474,-0.0010154377622126661
2.459975,0.0037108221446480417,-0.0005564039629250071,-0.0007435030302792016
2.479975,0.003284971328778457,-0.0006557046622294007,-0.00041797855476091234
2.499975,0.0010863932401999287,-0.0007679424244699947,-0.0008263235430962563
2.519975,-0.0008128608390667081,-0.0008178258743541732,-0.0004857407925158398
2.539974,-0.0016250986013308735,-4.537832188628927e-05,0.00014537808859169674
2.559974,-0.0031238398600687296,0.0004997265732468726,0.001067033100226353
2.579974,-0.002546403962611992,0.0008308221443497524,0.0017158675990471802
2.599974,-0.0012330473192549878,0.0009128734264217786,0.001648548251730845
2.619974,0.0001248081586008638,0.0003622906758351918,0.0016463337995145638
2.639973,0.0016174421912500932,6.438857793208117e-05,0.0005723244755185759
2.659973,0.00120016946398199,2.138158492130855e-05,-0.00018103216782391744
2.679973,0.0007461834500349912,0.00018732564087941357,-0.0004374657342556026
2.699973,0.0003581648020213092,-0.00014938764583706862,-0.0005326871794724909
2.719973,-8.577459190231486e-05,-0.000349527505987853,-9.156829835748855e-05
2.739973,-0.0010121848483199613,-4.873496520265727e-05,-0.00016198787877576962
2.759972,-0.00024500536114606224,-0.0004337000001709658,0.0003854247086295777
2.779972,0.0016989806528217239,-0.00040484219131605467,0.0006378722610763024
2.799972,0.0026357871796025023,-0.000707755944229297,0.0004119981352079941
2.819972,0.00385974988353421,-0.0013930006994839956,0.0001511356643479863
2.839972,0.0020835261073052606,-0.0016871265736055757,-0.0007590041957793912
2.859971,0.0003662766900422255,-0.0017605764570634691,-0.0012661137528806416
2.879971,-0.0003463806526072612,-0.003902464568956817,-0.0010863002330711296
2.899971,3.5261072921745004e-06,-0.005502301398799477,-0.0007452745920494706
2.919971,-0.0011129074591147568,-0.006590506527002599,-0.0008763701631416029
2.93997,-0.001129224475411247,-0.007666800233312712,-0.0005907058274829879
2.95997,0.0005926403264650598,-0.00876547156199801,-0.00033161491839695927
2.97997,0.0007976053614251269,-0.00890127575779642,0.0002357277389549205
2.99997,-0.0005617186478997886,-0.009024982051520579,-0.000379889976677867
3.01997,-0.001069294405477723,-0.008887266433819284,-0.0011487477855417502
3.039969,-0.0007060310021970659,-0.007730996037542541,-0.0008072792540931594
3.059969,0.00037352610735973124,-0.007061065967618452,-0.0010464400932570356
3.079969,0.0007345750584055573,-0.008019037995597684,-0.0008604261072457518
3.099969,0.0009330132868208454,-0.007655355011900626,-0.0011863934732026333
3.119969,0.00074974988356486,-0.007509993706523126,-0.0014702862470824991
3.139968,0.0011310319348621337,-0.007633396969909512,-0.0005796335664339115
3.159968,0.000648024941838105,-0.007825937762422644,-0.0005641324009188817
3.179968,-5.691678311577444e-05,-0.007926403962871576,-0.00045828158504751857
3.199968,-0.0031586417248267184,-0.00850078624726227,-0.0013755076922830028
3.219968,-0.004271788577937214,-0.008776660373150091,-0.0012315682983466145
3.239967,-0.003405937762055963,-0.008413443589937668,-0.00032098554777905506
3.259967,-0.0037014389275583726,-0.008281112587623823,-0.0007377454545308623
3.279967,-0.003564096270219026,-0.0080805997671307,-0.00031301351979906404
3.299967,-0.0028522314683860498,-0.007678478555007659,-0.00013585734264283546
3.319967,-0.0016757279718753477,-0.007077266433782786,0.00013652027973293132
3.339967,-0.00012514522129703463,-0.00669255780904268,0.0012220447552404382
3.359966,0.0023221508159719908,-0.006427849184298527,0.0006396438228455113
3.379966,0.002324691608496828,-0.006396613753061928,0.00034689324010104996
3.399966,0.0010516846154925432,-0.006640203496664197,0.0003916251748276394
3.419966,0.00022814149195580005,-0.006694982051461332,0.00040712634032729895
3.439965,0.0013805424243664905,-0.007167243123757031,0.0002782452214498579
3.459965,-0.0008865904427649257,-0.007377802564347729,-0.00018678974358020682
3.479965,-0.0010264505826344788,-0.007651508858061004,-0.00010706946385926799
3.499965,-0.0012383153845161128,-0.007921229137782957,-0.0001358573426460157
3.519965,-0.0006496906758723126,-0.007645168531715483,-0.00012965687644371382
3.539964,-0.0008733736595354005,-0.007598804895335342,0.0005417650349652694
3.559964,0.0005972557110868119,-0.007574865501397028,-5.6137062930906845e-05
3.579964,-0.0005660543122366971,-0.007184562471095192,0.0002538862470898431
3.599964,0.0006972557110627701,-0.006914725641249033,0.00030038974359306166
3.619964,0.0006225237763456721,-0.006700646387156417,-0.0002913118881002828
3.639963,0.0031443885782156777,-0.006855424941915199,-0.00041310675989452735
3.659963,0.001155927039754805,-0.007115891142384707,-0.00040779207458478017
3.679963,0.0014681648019992568,-0.007606986713463113,-0.0011717780885584282
3.699963,0.0009414048952373774,-0.008197289743760328,-0.0014840158507875092
3.719963,0.0019154841493319306,-0.008147196503649928,-0.0008542256410047594
3.739962,0.002046020279879285,-0.008107779254240506,-0.0007851347319123251
3.759962,0.0032233163171566763,-0.008127709324175909,-0.0012041090908756437
3.779962,0.003870542424361513,-0.007742301398778547,-0.00016995990673668022
3.799962,0.0030383745921905665,-0.007564445920926904,-0.00028732587409889196
3.819962,0.0016794701633069625,-0.0074355414920193215,-0.0002518946386680705
3.839962,0.0021163233101426197,-0.007457546154005528,0.0002751449883601022
3.859961,0.0002702627040877983,-0.007510553147020203,0.0008221146853157268
3.879961,-0.000879550815707561,-0.007861718648207533,0.0006334433566442693
3.899961,-0.001524142890325296,-0.008030972727459885,0.0012003431235342366
3.919961,0.0003428501166726782,-0.007874818881299601,0.0015546554778403335
3.93996,0.0019900529138905105,-0.007475075291581571,0.0008783617715601953
3.95996,0.0031731764570183253,-0.0076886184151171485,0.000965168298383941
3.97996,0.0037801927740343296,-0.00770575128226241,0.0008393874125814157
3.99996,0.004576696270537173,-0.007941951748461728,-0.0005025706293757966
4.019959,0.004583293007138984,-0.007589410955922719,-0.0012421976690026796
4.039959,0.004312803496639143,-0.007705821212341703,-0.0018883748251792335
4.059959,0.0037148780887149456,-0.007336240792759448,-0.0021647384615436707
4.079959,0.0020380715618965746,-0.0074883620049110595,-0.0019477221445267077
4.099959,-0.00036831538451258423,-0.007385681352219875,-0.0013055310023345843
4.119959,0.001040938694734002,-0.007448921445442875,-0.0009839925407880052
4.139959,0.0015211251749335099,-0.007334352680874514,-0.0006478386946147108
4.159958,0.0004740389278753056,-0.007883606760110344,6.300046623708494e-05
4.179958,0.0005625004663445845,-0.007901508858016534,-0.00030061258739181034
4.199958,0.0011783979022431364,-0.00781393310043822,-0.00020096223774500945
4.219958,-0.00040025011637887854,-0.007165704662212912,0.00025742937063939124
4.239957,-0.0022036067597103522,-0.00672537832187997,0.00044388624709085743
4.259957,-0.0027196906757845037,-0.006397289743787622,3.1998135209145245e-05
4.279957,-0.0031780822841943447,-0.006260320046827715,0.00011171841493008418
4.299957,-0.004009457575563092,-0.00656309393957707,0.00032430582751660455
