Sensor,Material,Impact_Cases_Analyzed,peak_shift_abs_mean,peak_shift_abs_std,peak_shift_abs_median,peak_shift_abs_min,peak_shift_abs_max,peak_shift_abs_valid_count,residual_shift_abs_mean,residual_shift_abs_std,residual_shift_abs_median,residual_shift_abs_min,residual_shift_abs_max,residual_shift_abs_valid_count,rise_time_seconds_mean,rise_time_seconds_std,rise_time_seconds_median,rise_time_seconds_min,rise_time_seconds_max,rise_time_seconds_valid_count,recovery_time_seconds_mean,recovery_time_seconds_std,recovery_time_seconds_median,recovery_time_seconds_min,recovery_time_seconds_max,recovery_time_seconds_valid_count,peak_width_seconds_mean,peak_width_seconds_std,peak_width_seconds_median,peak_width_seconds_min,peak_width_seconds_max,peak_width_seconds_valid_count,max_slope_abs_mean,max_slope_abs_std,max_slope_abs_median,max_slope_abs_min,max_slope_abs_max,max_slope_abs_valid_count,rms_mean,rms_std,rms_median,rms_min,rms_max,rms_valid_count,signal_energy_mean,signal_energy_std,signal_energy_median,signal_energy_min,signal_energy_max,signal_energy_valid_count,peak_to_peak_mean,peak_to_peak_std,peak_to_peak_median,peak_to_peak_min,peak_to_peak_max,peak_to_peak_valid_count,variance_mean,variance_std,variance_median,variance_min,variance_max,variance_valid_count,std_dev_mean,std_dev_std,std_dev_median,std_dev_min,std_dev_max,std_dev_valid_count,entropy_mean,entropy_std,entropy_median,entropy_min,entropy_max,entropy_valid_count,auc_abs_mean,auc_abs_std,auc_abs_median,auc_abs_min,auc_abs_max,auc_abs_valid_count
FBG1,Copper,3,0.007880027195012775,0.001980566945195089,0.008246596736562972,0.0057417832167847,0.00965170163169065,3,0.0010896697746469758,0.0002598597816536074,0.0011398484848212501,0.0008083799533132,0.0013207808858064778,3,1.2331873985539943,1.5750129210259627,0.6778934145292865,0.011033688846879386,3.010635092285817,3,0.039999666666666656,5.773502677319565e-07,0.03999999999999915,0.03999900000000167,0.03999999999999915,3,,,,,,0,0.13623232323321055,0.021226688891606872,0.1351130536141709,0.11558741258801744,0.15799650349744335,3,0.003867367560012203,0.0010612050778443399,0.004110460913628181,0.0027057077002700606,0.004785934066138366,3,1.210594898592844e-05,1.0297761840765927e-05,1.2669826411010403e-05,1.5378335970782747e-06,2.2110186949696643e-05,3,0.010212766122802966,0.006582089261426499,0.0133374592074843,0.0026503263403288998,0.0146505128205957,3,7.4868010860339296e-06,6.28126206979186e-06,7.101182771490312e-06,1.40723213958604e-06,1.3951988347025438e-05,3,0.0025287695530559606,0.0012799173607528846,0.0026648044527676534,0.0011862681566939407,0.0037352360497062884,3,1.99234443795858,1.0974661854040753,2.18507890134319,0.8112781244591328,2.9806762880734166,3,0.0031362965208016447,0.003294335843820759,0.002361488746529514,0.00029842470862488467,0.006748976107250535,3
FBG2,Bare,7,0.01993972027969881,0.013271648864450872,0.018401888111899772,0.0018651398601184977,0.037466596736558104,7,0.004238942307707609,0.004198464625733975,0.003013648018643966,0.0008812004662217477,0.010047272727320759,4,0.22599421502169662,0.308531221902845,0.10902996720210334,0.0,0.8294595368606359,7,10.794891750000001,9.451936760561171,11.389885500000002,0.11999899999999997,20.279797000000002,4,12.409525765462499,10.74290740293896,17.07226271520149,0.12304691595251249,20.033267665233495,3,0.13326793563204622,0.11768268876827911,0.09354312354339991,0.03506031706638326,0.35031934731908715,7,0.015421358575884855,0.012432440727558624,0.012970879606274377,0.001029583345492438,0.03568061916537034,7,0.0025029778112321335,0.002795962382009246,0.002261225835766068,6.195146439197367e-07,0.00757966820509476,7,0.01567622044621707,0.012781794822872172,0.014003123543149799,0.0027886247086496,0.03846557109555619,7,1.7256717269901855e-05,3.964952371921528e-05,1.951661416078268e-06,3.562248408342778e-07,0.000107034811656995,7,0.0026299964304673682,0.003473203428138911,0.001397018760102479,0.0005968457429137597,0.01034576298090165,7,3.3105664548183205,0.7074754523020486,3.3437823783930463,1.9575437330180632,4.113756201777319,7,0.12482030132703288,0.14075462677098513,0.07889596420475312,0.0005059422199052,0.3944671797305449,7
FBG3,Steel,2,0.0025643473193773117,0.0001773865543818017,0.0025643473193773117,0.0024389160838826232,0.002689778554872,2,0.00046921328672218637,6.689493875060748e-05,0.00046921328672218637,0.00042191142190457304,0.0005165151515397996,2,0.05805369287066142,0.08210031980353164,0.05805369287066142,0.0,0.11610738574132284,2,0.020000000000000018,0.028284271247461926,0.020000000000000018,0.0,0.040000000000000036,2,1.738076195439989,0.0,1.738076195439989,1.738076195439989,1.738076195439989,1,0.05220941277282166,0.0037097164911696007,0.05220941277282166,0.04958624708563607,0.05483257846000725,2,0.0009730452020654934,0.00011207080142947879,0.0009730452020654934,0.000893799178401698,0.001052291225729289,2,2.4083180661288e-06,1.5099597180823262e-06,2.4083180661288e-06,1.3406153101542595e-06,3.4760208221033403e-06,2,0.00436738927740635,0.0005205558591597518,0.00436738927740635,0.0039993006994081,0.0047354778554046,2,6.654008317186989e-07,1.9998897859627637e-07,6.654008317186989e-07,5.239872687907007e-07,8.068143946466973e-07,2,0.0008110490623909324,0.0001232903087309656,0.0008110490623909324,0.0007238696490326836,0.0008982284757491812,2,3.0460845024089678,0.24678287945258365,3.0460845024089678,2.8715826548673036,3.220586349950632,2,0.002024286113777419,0.0011549998271941763,0.002024286113777419,0.0012075779036991264,0.0028409943238557117,2
