Feature,Domain,Shapley_Bare,Shapley_Copper,Shapley_Steel,Mean_Absolute_Shapley
noise_std_nm,Phase 5 Time-Domain,0.005700000000000003,-0.010300000000000002,0.004600000000000002,0.006866666666666669
Approximation_Energy,Phase 6 Wavelet,0.008299999999999998,0.0017000000000000001,-0.010000000000000002,0.006666666666666667
auc_abs,Phase 5 Time-Domain,0.0094,-0.005199999999999995,-0.0042000000000000015,0.006266666666666666
rms,Phase 5 Time-Domain,-0.007699999999999999,0.005299999999999998,0.0023999999999999976,0.005133333333333332
SII,Phase 8 Physics-Guided,-0.006400000000000001,0.0035000000000000035,0.0029000000000000002,0.004266666666666668
signal_energy,Phase 5 Time-Domain,-0.005,0.0027999999999999982,0.0021999999999999993,0.0033333333333333322
Wavelet_Entropy,Phase 6 Wavelet,0.004400000000000001,-0.0011999999999999986,-0.003200000000000001,0.0029333333333333334
Wavelet_Energy,Phase 6 Wavelet,0.004299999999999999,-0.0009999999999999987,-0.003300000000000001,0.0028666666666666662
Detail_Approx_Ratio,Phase 6 Wavelet,-0.004099999999999996,0.001900000000000001,0.0021999999999999993,0.002733333333333332
Detail_Energy,Phase 6 Wavelet,0.0006000000000000036,-0.0030999999999999973,0.0025,0.0020666666666666667
PEI,Phase 8 Physics-Guided,-0.0011000000000000046,0.0027000000000000006,-0.0015999999999999986,0.0018000000000000013
Spectral_Entropy,Phase 6 Spectral FFT,-0.0018999999999999978,0.000800000000000001,0.0011000000000000007,0.0012666666666666666
std_dev,Phase 5 Time-Domain,0.001899999999999999,-0.0013999999999999978,-0.0004999999999999998,0.0012666666666666653
peak_shift_abs,Phase 5 Time-Domain,9.999999999999815e-05,0.0017000000000000014,-0.001799999999999999,0.0011999999999999995
Spectral_Centroid,Phase 6 Spectral FFT,0.00019999999999999754,0.0015999999999999964,-0.0018000000000000017,0.0011999999999999986
Spectral_Energy,Phase 6 Spectral FFT,-0.0010999999999999985,0.001799999999999998,-0.0006999999999999973,0.001199999999999998
max_slope_abs,Phase 5 Time-Domain,-0.0008999999999999987,0.0016999999999999969,-0.000800000000000001,0.0011333333333333323
Bandwidth,Phase 6 Spectral FFT,0.0005000000000000008,0.0009000000000000008,-0.0013999999999999996,0.0009333333333333338
DSTI,Phase 8 Physics-Guided,-0.0013000000000000025,0.0010000000000000005,0.0002999999999999995,0.0008666666666666675
entropy,Phase 5 Time-Domain,0.000399999999999998,-0.0011000000000000044,0.0007000000000000009,0.0007333333333333344
DRI,Phase 8 Physics-Guided,-0.0009000000000000002,0.00040000000000000127,0.0005000000000000001,0.0006000000000000006
peak_to_peak,Phase 5 Time-Domain,-0.0005999999999999978,0.0008999999999999994,-0.0002999999999999995,0.0005999999999999989
rise_time_seconds,Phase 5 Time-Domain,0.00010000000000000022,-0.0004000000000000012,0.00030000000000000084,0.00026666666666666744
Dominant_Frequency,Phase 6 Spectral FFT,0.00019999999999999906,-0.00010000000000000002,-0.0001000000000000005,0.00013333333333333318
