Feature,Domain,Corr_Latent_Z1,Corr_Latent_Z2,Corr_PCA_PC1,Corr_PCA_PC2
peak_shift_abs,Phase 5 Time-Domain,-0.7753903153994022,0.36627681406573726,0.9406893911522276,-0.06915522245531072
rise_time_seconds,Phase 5 Time-Domain,0.20207591756061247,-0.5448772560205589,-0.1880496324765394,-0.28347132808031456
signal_energy,Phase 5 Time-Domain,-0.42334995742363835,0.662112212285614,0.8090391584601342,0.4029797786613199
rms,Phase 5 Time-Domain,-0.732171769454159,0.5003508828219543,0.9434622998978128,0.14686173283005574
peak_to_peak,Phase 5 Time-Domain,-0.558229259267639,-0.27039374140573563,0.5099150599366288,-0.7070438944050077
std_dev,Phase 5 Time-Domain,-0.49375956339306976,-0.37515773519529816,0.4319304295386343,-0.6761080464116418
entropy,Phase 5 Time-Domain,-0.5490021971152637,0.2928926663905612,0.572050562553855,-0.12410132812670086
max_slope_abs,Phase 5 Time-Domain,-0.03204920718592536,-0.262637781399642,-0.11639136923892082,-0.4268701395127484
auc_abs,Phase 5 Time-Domain,-0.3279795689199544,0.5556902554905785,0.6706592611008462,0.31932968134320705
noise_std_nm,Phase 5 Time-Domain,0.5233983184362928,-0.48253002877308865,-0.46862214062499746,-0.05629356746037531
Dominant_Frequency,Phase 6 Spectral FFT,0.6994594290723662,0.2716621563444132,-0.4204922442134645,0.6935291593126892
Spectral_Energy,Phase 6 Spectral FFT,-0.5979059746417931,-0.2829851764898999,0.45140424813647545,-0.6503063795654471
Spectral_Entropy,Phase 6 Spectral FFT,0.49780759599029567,0.5490600261404671,-0.0475658086865699,0.6570547648336817
Spectral_Centroid,Phase 6 Spectral FFT,0.5528188216962139,0.535338059288761,-0.06073317655708909,0.7464324388430655
Bandwidth,Phase 6 Spectral FFT,-0.6010304585931852,0.30607682215221027,0.7152120619167449,-0.11212257743475186
Approximation_Energy,Phase 6 Wavelet,-0.42009863413233756,0.7426254175350377,0.7146624858420618,0.572718472624755
Detail_Energy,Phase 6 Wavelet,-0.04198904344285126,-0.00782883372209655,0.004594897570112283,-0.1033294044999537
Wavelet_Energy,Phase 6 Wavelet,-0.4218286479765175,0.7443726831776002,0.7165377385102064,0.5725115896084739
Wavelet_Entropy,Phase 6 Wavelet,0.8275700123683649,-0.2506928370040394,-0.912304030558577,0.062351610772771814
Detail_Approx_Ratio,Phase 6 Wavelet,0.6568543401680863,0.09617400119918829,-0.6207361548946048,0.20425508002543505
DSTI,Phase 8 Physics-Guided,-0.6490109897671476,0.6934576684897445,0.8975670943189874,0.26047152851192534
PEI,Phase 8 Physics-Guided,-0.5615377325988491,0.2752728161336579,0.6861216024309988,-0.05134255098563584
SII,Phase 8 Physics-Guided,-0.8881269516748166,0.29603292590193553,0.8424455055182808,-0.12298261323391584
DRI,Phase 8 Physics-Guided,0.08598435590197366,-0.038462484373306995,-0.3377387361523241,0.02336688478310996
