time,raw_wavelength_shift,moving_average,butterworth,savitzky_golay,median
0.02,-0.00013369999987844494,-0.0009496999998646061,-8.230374128174347e-05,-0.0008547489509481733,-0.00013369999987844494
0.039999,-0.00013369999987844494,-0.0009496999998646061,-0.00019501906612964492,-0.0014864272725978397,-0.00013369999987844494
0.059999,-0.005963699999938399,-0.0009496999998646061,-0.0002134344006048344,-0.0014134668996234536,-0.00013369999987844494
0.079999,-0.0007136999997783278,-0.0009496999998646061,-9.366363630755759e-05,-0.000867720978873943,-0.00013369999987844494
0.099999,0.002196300000150586,-5.5699999848002335e-05,0.00010243980016793136,-8.104265719823846e-05,-0.00013369999987844494
0.119999,-0.00013369999987844494,0.001420300000154384,0.00024879618464271547,0.0007147149185547486,0.0014163000000735337
0.139998,0.004336300000204574,0.0015363000001343608,0.00024066033088212952,0.0010185377623996973,0.0014163000000735337
0.159998,0.0014163000000735337,0.00021430000015243422,6.898012306442595e-05,0.0010350412588991573,-0.00013369999987844494
0.179998,-0.00013369999987844494,9.830000017245766e-05,-0.00016482159872615725,-0.0005517885779417891,-0.00013369999987844494
0.199998,-0.0044136999997590465,-0.0012236999998549436,-0.0003059410622629982,-0.0012592944054230866,-0.0007136999997783278
0.219998,-0.0007136999997783278,-0.001649699999825316,-0.00024321620971741486,-0.0011866603727917042,-0.0007136999997783278
0.239997,-0.0022736999999324325,-0.0007556999998087121,1.1927362945757107e-05,0.00046851445237484847,-0.0007136999997783278
0.259997,-0.0007136999997783278,0.0008783000001585606,0.00031377014392491875,0.0002207755246640812,-0.0007136999997783278
0.279997,0.004336300000204574,0.001888300000155141,0.00044843952700935366,0.0005926170164926895,0.0037563000000773172
0.299997,0.0037563000000773172,-0.0002876999998079555,0.0002426201464982945,0.0009550412589108645,0.0037563000000773172
0.319997,0.004336300000204574,0.00013830000016241685,-0.00034723257834426186,-0.0008578958040372617,0.0037563000000773172
0.339997,-0.013153699999747914,-0.001299699999844961,-0.0012153523634279822,-0.0006119284380649626,0.0014163000000735337
0.359996,0.0014163000000735337,-0.003243699999848104,-0.002159926057665254,-0.0019868701630216938,-0.0028536999998323154
0.379996,-0.0028536999998323154,-0.003243699999848104,-0.002965971477373575,-0.003916613752767644,-0.0028536999998323154
